Data;Entrada;Início Intervalo;Fim Intervalo;Saída;Horas Trabalhadas;Observação
10/03/2025;08:30;12:00;13:00;19:30;10:00;Inclui 2.00h extra
11/03/2025;08:30;12:00;13:00;18:30;9:00;Inclui 1.00h extra
12/03/2025;08:00;12:00;13:00;22:00;13:00;Inclui 5.00h extra
13/03/2025;08:30;12:00;13:00;17:30;8:00;
14/03/2025;08:30;12:00;13:00;17:30;8:00;
17/03/2025;08:30;12:00;13:00;17:30;8:00;
18/03/2025;08:30;12:00;13:00;17:30;8:00;
19/03/2025;08:30;12:00;13:00;17:30;8:00;
20/03/2025;08:30;12:00;13:00;17:30;8:00;
21/03/2025;08:30;12:00;13:00;17:30;8:00;
24/03/2025;08:30;12:00;13:00;18:30;9:00;Inclui 1.00h extra
25/03/2025;08:30;12:00;13:00;16:30;7:00;
26/03/2025;09:00;;;10:19;1:19;
