regiao,estado,icms
Região Norte,Acre,19%
Região Norte,Amapá,18%
Região Norte,Amazonas,20%
Região Norte,Pará,19%
Região Norte,Rondônia,19.5%
Região Norte,Roraima,20%
Região Norte,Tocantins,20%
Região Nordeste,Alagoas,19%
Região Nordeste,Bahia,20.5%
Região Nordeste,Ceará,20%
Região Nordeste,Maranhão,22%
Região Nordeste,Paraíba,20%
Região Nordeste,Pernambuco,20.5%
Região Nordeste,Piauí,21%
Região Nordeste,Rio Grande do Norte,18%
Região Nordeste,Sergipe,19%
Região Centro-Oeste,Distrito Federal,20%
Região Centro-Oeste,Goiás,19%
Região Centro-Oeste,Mato Grosso,17%
Região Centro-Oeste,Mato Grosso do Sul,17%
Região Sudeste,Espírito Santo,17%
Região Sudeste,Minas Gerais,18%
Região Sudeste,Rio de Janeiro,20%
Região Sudeste,São Paulo,18%
Região Sul,Paraná,19.5%
Região Sul,Rio Grande do Sul,17%
Região Sul,Santa Catarina,17%
